"id";"product_id";"info"
"1";"ATP00";"One-night stay, at First, World Hotel, Genting Highlands (3* or any similar hotel)"
"2";"ATP00";"One hour Batu Caves Tour"
"3";"ATP00";"One way Genting Skywalk Cable Car"
"4";"AHB00";"Sg Wang Plaza (Main Area)
"
"5";"AHB00";"China Town
"
"9";"AHB00";"Lake Garden
"
"11";"AHB00";"Petrosains"
"13";"AHB00";"KL Tower
"
"14";"AHB00";"Aquaria"
"15";"ATP01";"Dinner"
"16";"ATP01";"Professional Guide"
"22";"ATP02";"Malacca River Walk"
"23";"AHB01";"Jonker Street"
"24";"AHB01";"Melaka River"
"26";"AHB01";"St. Paul’s Church Malacca"
"28";"AHB02";"Visit Butterfly Farm"
"29";"AHB02";"Visit BOH Garden"
"30";"AHB02";"Tour Orang Asli Village"
"id";"username";"password"
"1";"jladmin";"jlpass123"
"id";"booking_id";"email";"type";"service";"booking_date";"quantity";"total";"status"
"32";"TP00";"nelda@gmail.com";"Bus";"Tour Package";"2022-04-08";"2";"902";"Paid"
"id";"location_one";"location_two";"price"
"1";"Kuala Lumpur";"KLIA 2";"130"
"2";"Kuala Lumpur";"Berjaya Times Square";"60"
"3";"Kuala Lumpur";"Sunway Pyramid";"80"
"4";"Kuala Lumpur";"Putrajaya";"160"
"5";"Kuala Lumpur";"Malacca";"360"
"6";"Kuala Lumpur";"Taman Negara";"600"
"7";"Kuala Lumpur";"Kuantan";"510"
"8";"Kuala Lumpur";"Cameron Highlands";"600"
"9";"Kuala Lumpur";"Legoland";"530"
"10";"Kuala Lumpur";"First World Hotel";"290"
"11";"Kuala Lumpur";"Genting Awana Bus Terminal";"230"
"12";"KLIA 2";"Berjaya Times Square";"170"
"13";"KLIA 2";"Sunway Pyramid";"100"
"14";"KLIA 2";"Putrajaya";"110"
"15";"KLIA 2";"Malacca";"380"
"16";"KLIA 2";"Taman Negara";"620"
"17";"KLIA 2";"Kuantan";"570"
"18";"KLIA 2";"Cameron Highlands";"550"
"19";"KLIA 2";"Legoland";"550"
"20";"KLIA 2";"First World Hotel";"390"
"21";"KLIA 2";"Genting Awana Bus Terminal";"310"
"22";"Berjaya Times Square";"Sunway Pyramid";"60"
"23";"Berjaya Times Square";"Putrajaya";"150"
"24";"Berjaya Times Square";"Malacca";"390"
"25";"Berjaya Times Square";"Taman Negara";"520"
"26";"Berjaya Times Square";"Kuantan";"500"
"27";"Berjaya Times Square";"Cameron Highlands";"510"
"28";"Berjaya Times Square";"Legoland";"550"
"29";"Berjaya Times Square";"First World Hotel";"300"
"30";"Berjaya Times Square";"Genting Awana Bus Terminal";"270"
"31";"Sunway Pyramid";"Putrajaya";"150"
"32";"Sunway Pyramid";"Malacca";"390"
"33";"Sunway Pyramid";"Taman Negara";"520"
